code	binomial	pubmed_count
yba	Ylistrum balloti	2
zce	Zerene cesonia	3
zmk	Zygotorulaspora mrakii	7
zro	Zygosaccharomyces rouxii	395
hca	Helicobacter pylori	51613
aamb	Acidianus ambivalens	70
abi	Aciduliprofundum boonei	10
abri	Acidianus brierleyi	25
acf	Candidatus Aciduliprofundum sp.	0
acia	Acidilobus sp. 7A	0
acih	Acidianus sp. HS-5	0
acj	Aeropyrum camini	5
afg	Archaeoglobus fulgidus	569
afu	Archaeoglobus fulgidus	569
agw	Archaeon GW2011_AR10	0
aho	Acidianus hospitalis	14
apo	Archaeoglobus profundus	11
arg	Archaeon GW2011_AR20	0
asc	Acidilobus saccharovorans	6
ast	Archaeoglobus sulfaticallidus	2
asul	Acidianus sulfidivorans	4
ave	Archaeoglobus veneficus	4
barb	Candidatus Bathyarchaeota archaeon	3
barc	Candidatus Bathyarchaeota archaeon	3
ccai	Conexivisphaera calida	1
cdiv	Cuniculiplasma divulgatum	10
clg	Caldisphaera lagunensis	2
csty	Stygiolobus caldivivus	1
csu	Candidatus Caldarchaeum subterraneum	0
dka	Desulfurococcus amylolyticus	23
dmu	Desulfurococcus mucosus	11
feo	Ferroplasma sp. BR_04	0
ffo	Fervidicoccus fontis	2
flt	Candidatus Fermentimicrarchaeum limneticum	0
gac	Geoglobus acetivorans	8
gah	Geoglobus ahangari	7
haaa	Halalkaliarchaeum sp. AArc-CO	0
haad	Halocatena salina	1
hab	Haloarcula sp. CBA1115	0
habn	Halorhabdus sp. BNX81	0
habo	Halobacterium sp. BOL4-2	0
hacb	Halobaculum sp. CBA1158	0
hae	Halohasta litchfieldiae	5
haer	Haloplanus aerogenes	4
hags	Halobacterium sp. GSL-19	0
hahs	Halanaeroarchaeum sp. HSR-CO	0
haj	Haloplanus rubicundus	1
hakz	Haloterrigena alkaliphila	1
hala	Halorhabdus sp. CBA1104	0
halb	Halorubrum sp. BOL3-1	0
halg	Halorarum halophilum	0
halh	Halodesulfurarchaeum formicicum	0
hali	Halorientalis sp. IM1011	0
halj	Haloarcula sp. JP-L23	0
hall	Halomicrobium sp. LC1Hm	0
halm	Haloprofundus sp. MHR1	0
haln	Halolamina sp. CBA1230	0
halp	Halorubrum sp. PV6	0
halq	Halorubrum sp. CBA1229	0
halr	Halarchaeum sp. CBA1220	0
halu	Halorarum salinum	1
halv	Natronosalvus halobius	1
halx	Halorussus limi	1
haly	Natrinema halophilum	1
halz	Halomicrobium mukohataei	8
hanr	Halobacterium salinarum	634
hanx	Halobacterium sp. NMX12-1	0
haq	Haloplanus rubicundus	1
hara	Natranaeroarchaeum sulfidigenes	2
harc	Halococcoides cellulosivorans	1
hasv	Halorhabdus sp. SVX81	0
haxy	Halorussus vallis	1
haxz	Halorussus gelatinilyticus	1
hayc	Halorussus salilacus	1
hazp	Halomicrobium sp. ZPS1	0
hazz	Halorubrum sp. 2020YC2	0
hbu	Hyperthermus butylicus	11
hda	Natronorubrum daqingense	3
hdf	Halalkaliarchaeum desulfuricum	1
hdl	Halobacterium sp. DL1	0
hdo	Halococcus dombrowskii	8
hdr	Haloferax denitrificans	10
hds	Halapricum desulfuricans	1
hezz	Halorubrum ezzemoulense	7
hhb	Halobacterium hubeiense	3
hhn	Haloarcula hispanica	79
hhsr	Halodesulfurarchaeum formicicum	0
hje	Halalkalicoccus jeotgali	10
hjt	Natrinema thermotolerans	1
hlc	Natronobacterium lacisalsi	0
hlm	Halobellus limi	3
hln	Haloferax volcanii	761
hlo	Natrinema longum	1
hlr	Halostagnicola larsenii	8
hls	Haloferax larsenii	11
hlt	Halosimplex litoreum	1
hlu	Halobacterium litoreum	1
hmp	Halobaculum magnesiiphilum	2
hmu	Halomicrobium mukohataei	8
hpal	Halorientalis pallida	1
hpel	Halosimplex pelagicum	2
hra	Haloplanus rallus	1
hre	Halobaculum roseum	2
hrl	Haloplanus ruber	3
hrm	Halobaculum rubrum	2
hrr	Halosimplex rubrum	2
hru	Halovivax ruber	4
hsaa	Haloarcula salina	0
hsai	Halorubrum salinarum	2
